TIME,RESPONSETIME
7.992260,3.511980
11.134862,7.198264
14.118168,9.482814
15.210164,5.135806
16.220644,5.838891
18.002763,2.076702
21.763995,4.195474
24.873320,4.240891
25.424273,14.225707
28.089533,4.359009
28.816838,9.908432
30.809096,6.479410
33.435830,4.573282
33.579556,3.139354
34.049418,17.534233
35.513013,7.777072
37.195112,4.481438
37.923054,15.658476
40.219613,4.159236
40.327004,5.792726
42.831894,8.111096
43.345285,4.172657
44.428596,10.634003
49.001548,11.416082
49.190942,2.534224
52.028549,3.682730
53.435337,18.457879
55.670554,6.950236
56.154973,15.764639
56.566594,2.917924
58.275815,3.976956
58.420669,11.180752
59.461728,5.322966
60.351185,6.779152
62.358215,5.098742
62.866359,7.220617
63.728498,4.480235
64.110635,3.130299
67.976254,7.829513
69.796752,4.778748
70.033917,4.248424
70.052737,1.546902
72.073181,10.808106
72.515998,5.512505
72.573721,3.533560
75.933284,4.074047
77.528880,9.066403
80.639861,13.203034
82.744859,5.433541
83.254137,9.096126
83.590826,2.447145
84.501034,2.649155
87.610868,3.676597
91.264249,2.147119
94.922634,1.701804
97.299852,6.756180
98.121661,1.086959
99.588259,3.360935
100.201536,4.700589
102.559335,9.592412
108.979721,2.289063
116.271408,15.298309
116.692433,8.961019
117.322618,10.145043
117.823102,5.349139
118.131283,16.506747
119.365445,9.519711
121.486683,7.061438
122.190099,4.824809
122.323439,18.693711
124.746763,8.226311
125.577471,11.582548
126.488750,4.882716
126.758666,15.500819
128.662383,7.124233
129.531666,5.038057
139.852389,26.990240
141.497343,14.708103
142.042788,6.776794
143.654261,3.077860
145.223085,9.179756
145.599893,6.474601
147.497431,4.861304
150.737168,2.326526
151.095408,4.353673
151.586634,7.621305
153.616803,4.794899
156.118169,3.091831
156.838001,7.190029
158.703747,13.799158
159.781231,5.372261
160.783800,4.015171
161.052407,2.877001
163.500320,10.806189
164.184644,6.045270
164.536202,4.329095
172.382398,5.568618
175.321872,1.393028
181.359268,1.708235
182.092377,6.794498
182.843066,3.233078
184.128342,0.722763
188.738993,3.682307
192.032682,4.220645
195.439694,3.802142
196.351866,2.611667
196.540648,4.539972
199.421111,2.377778
201.199740,2.835374
206.437729,5.735222
208.488734,3.383843
208.691366,2.783906
210.908563,4.248624
212.921969,5.215740
214.408602,0.569973
